IdLandkreis,Meldedatum,AnzahlFall,AnzahlGenesen,AnzahlFall>59,Landkreis,Bevölkerung gesamt,Ü65%,Ausländer%,Bevölkerungsdichte EW/km²,Temperatur,BIPK,Bgast,Bgesund,afd21,GoogleCorona,GoogleUrlaub,7dInzidenz,7dInzidenzFall>59,AnzahlFall>59%,AnzahlGenesenLandkreis,AnzahlGenesenLandkreis%,leavehome,dist,trvl,gastr,mskÖPVN,mskÖFF,shppngTW,shppngGANZ,hcutTW,hcutGANZ,ess_shpsTW,schoolTW,daycareTW,1to5friends,churchTW,churchGANZ,personen_erst_kumulativ,personen_voll_kumulativ,7dInzidenzFUTURE,AnzahlFallFUTURE,BgastP,BgesundP,Gsaison
8237,2020-07-11,4,4,1,LK Freudenstadt,118599,0.21350095700638286,0.12494303893605171,136,20.79,39.755815816322226,2761,5996,7.018,20,87,3.372709719306234,0.8431774298265585,0.25,536,0.004519431023870353,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0.0,0.0,2.529532289479675,3,0.023280128837511276,0.05055691869240044,0
8237,2020-07-18,3,3,1,LK Freudenstadt,118599,0.21350095700638286,0.12494303893605171,136,20.79,39.755815816322226,2761,5996,7.018,21,84,2.529532289479675,0.8431774298265585,0.3333333333333333,539,0.004544726346765149,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0.0,0.0,2.529532289479675,3,0.023280128837511276,0.05055691869240044,0
8237,2020-07-25,3,2,2,LK Freudenstadt,118599,0.21350095700638286,0.12494303893605171,136,20.79,39.755815816322226,2761,5996,7.018,25,89,2.529532289479675,1.686354859653117,0.6666666666666666,541,0.004561589895361681,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0.0,0.0,5.902242008785909,7,0.023280128837511276,0.05055691869240044,0
8237,2020-08-01,7,7,4,LK Freudenstadt,118599,0.21350095700638286,0.12494303893605171,136,21.76,39.755815816322226,2761,5996,7.018,23,100,5.902242008785909,3.372709719306234,0.5714285714285714,548,0.00462061231544954,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0.0,0.0,1.686354859653117,2,0.023280128837511276,0.05055691869240044,0
8237,2020-08-08,2,2,1,LK Freudenstadt,118599,0.21350095700638286,0.12494303893605171,136,21.76,39.755815816322226,2761,5996,7.018,22,95,1.686354859653117,0.8431774298265585,0.5,550,0.004637475864046071,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0.0,0.0,3.372709719306234,4,0.023280128837511276,0.05055691869240044,0
8237,2020-08-15,4,4,1,LK Freudenstadt,118599,0.21350095700638286,0.12494303893605171,136,21.76,39.755815816322226,2761,5996,7.018,26,89,3.372709719306234,0.8431774298265585,0.25,554,0.004671202961239134,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0.0,0.0,12.647661447398376,15,0.023280128837511276,0.05055691869240044,0
8237,2020-08-22,15,15,0,LK Freudenstadt,118599,0.21350095700638286,0.12494303893605171,136,21.76,39.755815816322226,2761,5996,7.018,26,70,12.647661447398376,0.0,0.0,569,0.004797679575713117,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0.0,0.0,8.431774298265584,10,0.023280128837511276,0.05055691869240044,0
8237,2020-08-29,10,10,1,LK Freudenstadt,118599,0.21350095700638286,0.12494303893605171,136,21.76,39.755815816322226,2761,5996,7.018,20,56,8.431774298265584,0.8431774298265585,0.1,579,0.004881997318695773,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0.0,0.0,10.1181291579187,12,0.023280128837511276,0.05055691869240044,0
8237,2020-09-05,12,12,2,LK Freudenstadt,118599,0.21350095700638286,0.12494303893605171,136,17.36,39.755815816322226,2761,5996,7.018,20,49,10.1181291579187,1.686354859653117,0.16666666666666666,591,0.00498317861027496,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0.0,0.0,9.274951728092143,11,0.023280128837511276,0.05055691869240044,0
8237,2020-09-12,11,11,2,LK Freudenstadt,118599,0.21350095700638286,0.12494303893605171,136,17.36,39.755815816322226,2761,5996,7.018,20,43,9.274951728092143,1.686354859653117,0.18181818181818182,602,0.005075928127555881,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0.0,0.0,8.431774298265584,10,0.023280128837511276,0.05055691869240044,0
